domain_id	Accession_pfam	Clan_pfam	Function_pfam	alignment_length	bit_score
Rib_5-P_isom_A	PF06026	CL0063	Ribose 5-phosphate isomerase A (phosphoriboisomerase A)	169.0	198.7
Arg_tRNA_synt_N	PF03485		Arginyl tRNA synthetase N terminal domain	83.0	66.63
Cas_Cas4	PF01930	CL0236	Domain of unknown function DUF83	191.0	67.6
ANTAR	PF03861		ANTAR domain	54.0	74.4
YoaP	PF14268		YoaP-like	44.0	68.55
DoxD	PF04173	CL0131	TQO small subunit DoxD	99.0	37.91
DUF2969	PF11184		Protein of unknown function (DUF2969)	74.0	81.18
RecX_HTH1	PF21982	CL0123	RecX, first three-helix domain	39.0	23.01
TrmE_N	PF10396	CL0289	GTP-binding protein TrmE N-terminus	119.0	144.77
Ribosomal_S17	PF00366	CL0021	Ribosomal protein S17	68.0	108.84
DUF3139	PF11337		Protein of unknown function (DUF3139)	78.0	95.59
Anticodon_1	PF08264	CL0258	Anticodon-binding domain of tRNA ligase	149.0	151.95
DNAG_N	PF08275	CL0748	DNA primase catalytic core, N-terminal domain	133.0	120.89
SusG_C	PF23915	CL0369	Alpha-amylase SusG C-terminal domain	59.0	40.55
DUF956	PF06115	CL0266	Domain of unknown function (DUF956)	117.0	191.1
Band_7_1	PF13421	CL0433	SPFH domain-Band 7 family	224.0	51.88
Glyco_hydro_20	PF00728	CL0036	Glycosyl hydrolase family 20, catalytic domain	335.0	154.2
SPP1_portal	PF05133	CL0838	Phage portal protein, SPP1 Gp6-like	436.0	251.49
MTS	PF05175	CL0063	Methyltransferase small domain	171.0	46.34
DegT_DnrJ_EryC1	PF01041	CL0061	DegT/DnrJ/EryC1/StrS aminotransferase family	386.0	315.3
SEC-C	PF02810	CL0821	SEC-C motif	19.0	37.02
HNH_5	PF14279	CL0263	HNH endonuclease	25.0	3.8
Tn916-Xis	PF09035	CL0123	Excisionase from transposon Tn916	67.0	61.53
MutS_V	PF00488	CL0023	MutS domain V	188.0	273.63
ABC_tran	PF00005	CL0023	ABC transporter	152.0	105.21
DUF6792	PF20591	CL0028	Domain of unknown function (DUF6792)	48.0	5.7
Zn_ribbon_PriA	PF18319	CL0167	PriA DNA helicase Cys-rich region (CRR) domain	26.0	41.3
PC4	PF02229	CL0609	Transcriptional Coactivator p15 (PC4)	50.0	42.02
Ribosomal_L9_C	PF03948		Ribosomal protein L9, C-terminal domain	85.0	85.92
NFACT_N	PF05833	CL0303	NFACT N-terminal and middle domains	421.0	410.66
Pribosyl_synth	PF14572	CL0533	Phosphoribosyl synthetase-associated domain	163.0	62.53
GIDA_C_1st	PF21680		tRNA modifying enzyme MnmG/GidA C-terminal helical domain	95.0	73.61
WxLIP_HBD	PF11797	CL0159	WxL Interacting Protein, host binding domain	141.0	105.16
Transposase_mut	PF00872	CL0219	Transposase, Mutator family	94.0	70.53
Glyco_hydro_4	PF02056	CL0063	Family 4 glycosyl hydrolase	181.0	220.53
HTH_IclR	PF09339	CL0123	IclR helix-turn-helix domain	52.0	52.56
HEM4	PF02602		Uroporphyrinogen-III synthase HemD	209.0	121.47
Bac_DNA_binding	PF00216	CL0548	Bacterial DNA-binding protein	90.0	118.72
AAA_33	PF13671	CL0023	AAA domain	143.0	69.64
Bac_luciferase	PF00296	CL0036	Luciferase-like monooxygenase	301.0	105.42
DUF6688_C	PF23543		DUF6688 C-terminal domain	112.0	202.49
Response_reg	PF00072	CL0304	Response regulator receiver domain	112.0	60.55
Aminotran_4	PF01063		Amino-transferase class IV	243.0	112.11
SMC_N	PF02463	CL0023	RecF/RecN/SMC N terminal domain	793.0	35.56
AAA_23	PF13476	CL0023	AAA domain	212.0	92.31
AF_0155	PF27217	CL0063	AF_0155 Rossmann-like domain	105.0	115.72
Zeta_toxin	PF06414	CL0023	Zeta toxin	143.0	36.49
Ribosomal_S15	PF00312	CL0600	Ribosomal protein S15	81.0	127.56
HTH_DeoR	PF08220	CL0123	DeoR-like helix-turn-helix domain	57.0	61.23
2-thiour_desulf	PF04463		2-thiouracil desulfurase	135.0	151.6
Phage_VG64	PF25682		Mycobacterium phage VG64	134.0	147.92
Sua5_yciO_yrdC	PF01300		Telomere recombination	178.0	188.73
DUF1831	PF08866		Putative amino acid metabolism	109.0	110.24
Formyl_trans_N	PF00551		Formyl transferase	181.0	183.9
DUF2441	PF10386	CL0084	Protein of unknown function (DUF2441)	122.0	172.71
TetR_N	PF00440	CL0123	Bacterial regulatory proteins, tetR family	47.0	40.57
PurS	PF02700		Phosphoribosylformylglycinamidine (FGAM) synthase	76.0	102.68
Band_7	PF01145	CL0433	SPFH domain / Band 7 family	175.0	107.83
HTH_19	PF12844	CL0123	Helix-turn-helix domain	63.0	9.15
ABC2_membrane	PF01061	CL0181	ABC-2 type transporter	215.0	48.6
Peptidase_A8	PF01252		Signal peptidase (SPase) II	138.0	130.13
P5CR_dimer	PF14748	CL0106	Pyrroline-5-carboxylate reductase dimerisation	105.0	143.65
Tim44	PF04280	CL0051	Tim44-like domain	128.0	41.17
Fer4_10	PF13237	CL0344	4Fe-4S dicluster domain	75.0	23.85
Aminotran_1_2	PF00155	CL0061	Aminotransferase class I and II	357.0	147.74
Molybdop_Fe4S4	PF04879	CL0344	Molybdopterin oxidoreductase Fe4S4 domain	55.0	69.51
Rep_trans	PF02486	CL0407	Replication initiation factor	206.0	231.75
Histidinol_dh	PF00815	CL0099	Histidinol dehydrogenase	407.0	571.08
AAA_31	PF13614	CL0023	AAA domain	171.0	53.41
KH_NusA_1st	PF13184	CL0007	NusA-like first KH domain	78.0	119.96
Phage_capsid	PF05065	CL0373	Phage capsid family	291.0	60.2
Peptidase_S41	PF03572	CL0127	Peptidase family S41	169.0	166.43
Transpeptidase	PF00905	CL0013	Penicillin binding protein transpeptidase domain	332.0	225.35
HD_assoc_2	PF19276		HD associated region	218.0	13.68
Imm6	PF14434		Immunity protein Imm6	121.0	61.31
MDD_C	PF18376	CL0677	Mevalonate 5-diphosphate decarboxylase C-terminal domain	145.0	78.23
OpuAC	PF04069	CL0177	Substrate binding domain of ABC-type glycine betaine transport system	266.0	216.35
TPR_8	PF13181	CL0020	Tetratricopeptide repeat	34.0	18.17
PEPcase	PF00311	CL0036	Phosphoenolpyruvate carboxylase	884.0	887.87
VCA0040-like	PF04018		Undecaprenyl phosphate translocase-like	228.0	92.61
MutS_III	PF05192		MutS domain III	292.0	182.85
HATPase_c_2	PF13581	CL0025	Histidine kinase-like ATPase domain	130.0	90.73
DHFR_1	PF00186	CL0387	Dihydrofolate reductase	161.0	198.56
Tubulin_2	PF13809	CL0063	Tubulin like	356.0	223.29
Cyclophil_like2	PF18050	CL0475	Cyclophilin-like family	109.0	81.41
YtxK_like	PF21106	CL0884	YtxK N-terminal helical domain	83.0	58.01
KH_dom-like	PF14714		KH-domain-like of EngA bacterial GTPase enzymes, C-terminal	81.0	115.76
DUF5068	PF16781	CL0524	Domain of unknown function (DUF5068)	183.0	21.71
KH_2	PF07650	CL0007	KH domain	74.0	77.64
RS_preATP-grasp-like	PF22660	CL0063	Ribonucleotide synthetase preATP-grasp domain	87.0	96.19
GARS_A	PF01071	CL0179	Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain	188.0	200.89
PriCT_1	PF08708	CL0242	Primase C terminal 1 (PriCT-1)	68.0	56.54
CoiA_nuc	PF06054	CL0236	Competence protein CoiA, nuclease-like domain	148.0	68.62
Fumerase	PF05681		Fumarate hydratase (Fumerase)	272.0	257.97
CRISPR_Cse1	PF09481		CRISPR-associated protein Cse1 (CRISPR_cse1)	509.0	274.52
MtN3_slv	PF03083	CL0141	Sugar efflux transporter for intercellular exchange	108.0	22.89
DUF3114	PF11311		Protein of unknown function (DUF3114)	280.0	82.96
NfeD_membrane	PF24961		NfeD integral membrane domain	112.0	33.83
GARS_N	PF02844	CL0063	Phosphoribosylglycinamide synthetase, N domain	103.0	110.87
FmdA_AmdA	PF03069		Acetamidase/Formamidase family	280.0	37.11
HTH_11	PF08279	CL0123	HTH domain	59.0	34.36
Bile_Hydr_Trans	PF04775	CL0159	Acyl-CoA thioester hydrolase/BAAT N-terminal region	136.0	59.71
RsbU_N	PF08673	CL0637	Phosphoserine phosphatase RsbU, N-terminal domain	75.0	98.08
Nlig-Ia	PF22745		DNA ligase-like, N-terminal NAD+-binding domain	60.0	79.16
Rho_N	PF07498	CL0306	Rho termination factor, N-terminal domain	43.0	42.71
SYY_C-terminal	PF22421	CL0492	Tyrosine--tRNA ligase SYY-like C-terminal domain	84.0	110.54
MTHFR	PF02219	CL0036	Methylenetetrahydrofolate reductase	282.0	243.99
Abhydrolase_6	PF12697	CL0028	Alpha/beta hydrolase family	225.0	42.35
DUF5028	PF16431		Domain of unknown function (DUF5028)	148.0	96.34
DUF6079_1st	PF19557	CL0023	DUF6079 P-loop domain	308.0	35.23
FGGY_N	PF00370	CL0108	FGGY family of carbohydrate kinases, N-terminal domain	248.0	287.56
Alpha_L_fucos	PF01120	CL0036	Alpha-L-fucosidase	337.0	204.6
tRNA_bind	PF01588	CL0021	Putative tRNA binding domain	106.0	68.57
Isochorismatase	PF00857		Isochorismatase domain	196.0	112.72
HTH_5	PF01022	CL0123	Bacterial regulatory protein, arsR family	47.0	40.59
adh_short	PF00106	CL0063	short chain dehydrogenase	150.0	102.85
HAMP	PF00672	CL0681	HAMP domain	53.0	27.33
PriA_C	PF18074		Primosomal protein N C-terminal domain	93.0	64.36
DUF4352	PF11611	CL0524	Domain of unknown function (DUF4352)	122.0	28.23
MdcG	PF10620	CL0260	Phosphoribosyl-dephospho-CoA transferase MdcG C-terminal domain	117.0	66.9
Voltage_CLC	PF00654		Voltage gated chloride channel	421.0	137.5
DUF6465	PF20069		Family of unknown function (DUF6465)	132.0	86.96
TrwB_AAD_bind	PF10412	CL0023	Type IV secretion-system coupling protein DNA-binding domain	329.0	33.41
PSP1	PF04468		PSP1 C-terminal conserved region	86.0	111.16
FAD_syn	PF06574	CL0039	FAD synthetase	157.0	165.33
Anticodon_3	PF19303	CL0258	Anticodon binding domain of methionyl tRNA ligase	144.0	33.56
Meth_synt_2	PF01717	CL0036	Cobalamin-independent synthase, Catalytic domain	210.0	19.48
YkuD	PF03734	CL0508	L,D-transpeptidase catalytic domain	125.0	71.1
Ribosomal_L34	PF00468		Ribosomal protein L34	44.0	84.81
CDP-OH_P_transf	PF01066		CDP-alcohol phosphatidyltransferase	167.0	98.28
MORN	PF02493	CL0251	MORN repeat	123.0	20.84
Thymidylat_synt	PF00303		Thymidylate synthase	313.0	402.69
DUF3378	PF11858	CL0407	Domain of unknown function (DUF3378)	75.0	60.43
rve_2	PF13333	CL0219	Integrase core domain	52.0	53.19
AsnA	PF03590	CL0040	Aspartate-ammonia ligase	237.0	320.14
HTH_29	PF13551	CL0123	Winged helix-turn helix	63.0	26.39
4HBT	PF03061	CL0050	Thioesterase superfamily	76.0	56.29
SIS_2	PF13580	CL0067	SIS domain	137.0	127.04
Cas_CT1975	PF09344	CL0362	CT1975-like protein	341.0	392.96
IMS	PF00817		impB/mucB/samB family	151.0	168.7
MgtE_N	PF03448	CL0436	MgtE intracellular N domain	186.0	37.57
SelR	PF01641	CL0080	SelR domain	116.0	158.09
PAS_GdpP	PF21370	CL0183	Cyclic-di-AMP phosphodiesterase GdpP-like, PAS domain	84.0	34.01
DnaB_2	PF07261		Replication initiation and membrane attachment	73.0	63.66
FtsA_C	PF11983		Cell division protein FtsA, C-terminal	82.0	51.44
UPF0302	PF08864		UPF0302 domain	105.0	109.98
DrsE_2	PF13686	CL0394	DsrE/DsrF/DrsH-like family	155.0	212.2
Citrate_synt	PF00285		Citrate synthase, C-terminal domain	393.0	329.99
Ala_racemase_N	PF01168	CL0036	Alanine racemase, N-terminal domain	211.0	60.53
Dyp_perox_C	PF20628	CL0032	Dyp-type peroxidase, C-terminal	177.0	170.08
TP_methylase	PF00590		Tetrapyrrole (Corrin/Porphyrin) Methylases	201.0	108.24
DNApol3-delta_C	PF09115	CL0604	DNA polymerase III, delta subunit, C terminal	113.0	26.9
PhoU	PF01895	CL0297	PhoU domain	88.0	44.47
Mem_trans	PF03547	CL0064	Membrane transport protein	292.0	97.2
zf_Rg	PF17915	CL0839	Reverse gyrase zinc finger	47.0	18.15
DUF2238	PF09997		Predicted membrane protein (DUF2238)	210.0	112.73
CTP_transf_1	PF01148	CL0234	Cytidylyltransferase family	267.0	188.81
SKI	PF01202	CL0023	Shikimate kinase	150.0	147.85
Collagen_bind	PF05737	CL0204	Collagen binding domain	130.0	58.1
DsbD_TM	PF02683	CL0292	Cytochrome C biogenesis protein transmembrane domain	212.0	83.26
DNA_polI_exo1	PF22619	CL0219	DNA polymerase I, ribonuclease H-like domain	136.0	129.5
ZinT	PF09223	CL0116	ZinT (YodA) periplasmic lipocalin-like zinc-recruitment	184.0	245.18
HCS_D2	PF22617	CL0597	Homocitrate synthase post-HMGL domain-like	82.0	92.09
Ribosomal_L17	PF01196		Ribosomal protein L17	120.0	126.1
YbjQ_1	PF01906	CL0522	Putative heavy-metal-binding	105.0	134.18
Val_tRNA-synt_C	PF10458	CL0298	Valyl tRNA synthetase tRNA binding arm	66.0	60.58
BipA_C	PF21018		TypA/BipA C-terminal domain	110.0	148.66
VWA	PF00092	CL0128	von Willebrand factor type A domain	175.0	50.32
CCB3_YggT	PF02325		CCB3/YggT	83.0	52.26
Rhodanese	PF00581	CL0031	Rhodanese-like domain	92.0	57.51
Phage_holin_4_2	PF04020		Mycobacterial 4 TMS phage holin, superfamily IV	105.0	102.87
CarD_C	PF21095	CL0123	CarD, C-terminal domain	93.0	25.08
NAD_binding_11	PF14833	CL0106	NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase	121.0	99.7
DDE_Tnp_1	PF01609	CL0219	Transposase DDE domain	147.0	50.75
tRNA_anti-like	PF12869	CL0021	tRNA_anti-like	161.0	39.93
SNF	PF00209	CL0062	Sodium:neurotransmitter symporter family	444.0	117.64
FtsX	PF02687	CL0404	FtsX-like permease C-terminal	121.0	66.09
TMEM164	PF14808		TMEM164 family	208.0	90.07
Glycos_transf_3	PF00591		Glycosyl transferase family, a/b domain	227.0	143.33
Zn_peptidase	PF04228	CL0126	Putative neutral zinc metallopeptidase	307.0	319.46
Lipoprotein_9	PF03180	CL0177	NlpA lipoprotein	238.0	289.79
Semialdhyde_dhC_1	PF22698	CL0139	Semialdehyde dehydrogenase, dimerisation domain	164.0	185.94
Gram_pos_anchor	PF00746		LPXTG cell wall anchor motif	44.0	24.99
3D	PF06725	CL0199	3D domain	62.0	63.62
Lactonase	PF10282	CL0186	Lactonase, 7-bladed beta-propeller	327.0	253.01
CSD	PF00313	CL0021	'Cold-shock' DNA-binding domain	64.0	102.15
Citrate_ly_lig	PF08218	CL0039	Citrate lyase ligase C-terminal domain	181.0	221.78
WHD_CvfB	PF17783	CL0123	CvfB-like winged helix domain	59.0	76.43
MreB_Mbl	PF06723	CL0108	MreB/Mbl protein	327.0	451.17
Biotin_lipoyl	PF00364	CL0105	Biotin-requiring enzyme	74.0	68.25
ATC_hydrolase	PF14196	CL0210	L-2-amino-thiazoline-4-carboxylic acid hydrolase	144.0	95.79
GATase	PF00117	CL0014	Glutamine amidotransferase class-I	197.0	67.06
LRR_adjacent	PF08191	CL0159	LRR adjacent	59.0	59.96
Asparaginase_2	PF01112	CL0052	Asparaginase	281.0	205.36
NT5C	PF06941	CL0137	5' nucleotidase, deoxy (Pyrimidine), cytosolic type C protein (NT5C)	175.0	138.99
ssDNA_DBD	PF18333		Non-canonical single-stranded DNA-binding domain	105.0	63.79
Polysacc_synt	PF01943	CL0222	Polysaccharide biosynthesis protein	313.0	98.12
Zn_dep_PLPC	PF00882	CL0368	Zinc dependent phospholipase C	229.0	40.1
ketoacyl-synt	PF00109	CL0046	Beta-ketoacyl synthase, N-terminal domain	244.0	180.93
DSBA	PF01323	CL0172	DSBA-like thioredoxin domain	207.0	111.95
DEDD_Tnp_IS110	PF01548	CL0219	Transposase	151.0	110.05
FAD-oxidase_C	PF02913	CL0277	FAD linked oxidases, C-terminal domain	255.0	79.18
CBM_48	PF02922	CL0369	Carbohydrate-binding module 48 (Isoamylase N-terminal domain)	90.0	39.21
PGI	PF00342	CL0067	Phosphoglucose isomerase	372.0	87.75
GalP_UDP_tr_C	PF02744	CL0265	Galactose-1-phosphate uridyl transferase, C-terminal domain	199.0	82.7
Big_11	PF18200	CL0159	Bacterial Ig-like domain	1285.0	47.4
PolyA_pol	PF01743	CL0260	Poly A polymerase head domain	121.0	136.27
Ribosomal_L25p	PF01386	CL0733	Ribosomal L25p family	87.0	56.33
tRNA-synt_2b	PF00587	CL0040	tRNA synthetase class II core domain (G, H, P, S and T)	182.0	112.2
Hexapep	PF00132	CL0536	Bacterial transferase hexapeptide (six repeats)	36.0	43.8
ABM	PF03992	CL0032	Antibiotic biosynthesis monooxygenase	77.0	62.02
PhaG_MnhG_YufB	PF03334		Na+/H+ antiporter subunit	80.0	98.04
SNF2-rel_dom	PF00176	CL0023	SNF2-related domain	268.0	217.7
Cyt_bd_oxida_I	PF01654		Cytochrome bd terminal oxidase subunit I	375.0	341.92
KARI_C	PF01450	CL0106	Ketol-acid reductoisomerase, C-terminal domain	144.0	218.93
DUF2975	PF11188		Protein of unknown function (DUF2975)	123.0	54.88
MS_channel_2nd	PF00924	CL0010	Mechanosensitive ion channel, beta-domain	70.0	59.52
Semialdhyde_dhC	PF02774	CL0139	Semialdehyde dehydrogenase, dimerisation domain	192.0	184.28
AAA_2	PF07724	CL0023	AAA domain (Cdc48 subfamily)	200.0	112.78
Ubie_methyltran	PF01209	CL0063	ubiE/COQ5 methyltransferase family	234.0	256.13
Rol_Rep_N	PF18106	CL0407	Rolling Circle replication initiation protein N-terminal domain	91.0	113.45
Phospholipase-like	PF26363	CL0028	Tle-like phospholipase domain	142.0	32.41
TctA	PF01970		Tripartite tricarboxylate transporter TctA family	434.0	388.21
DNA_methylase	PF00145	CL0063	C-5 cytosine-specific DNA methylase	374.0	260.42
Complex1_51K	PF01512	CL0867	Nuo51 FMN-binding domain	144.0	148.79
NusB	PF01029	CL0633	NusB family	122.0	102.21
HAMP_2	PF18947	CL0681	HAMP domain	116.0	33.14
DsrE	PF02635	CL0394	DsrE/DsrF-like family	105.0	27.06
UDPG_MGDP_dh_N	PF03721	CL0063	UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain	175.0	110.51
Peptidase_A24	PF01478	CL0130	Type IV leader peptidase family	124.0	37.38
Aldose_epim	PF01263	CL0103	Aldose 1-epimerase	318.0	208.44
NUDIX	PF00293	CL0261	NUDIX domain	130.0	57.59
Tex_central_region	PF22706		Tex central region-like	169.0	94.33
Pkinase	PF00069	CL0016	Protein kinase domain	259.0	186.76
DUF3102	PF11300		Protein of unknown function (DUF3102)	115.0	28.79
TruB_N	PF01509	CL0649	TruB family pseudouridylate synthase (N terminal domain)	155.0	183.7
DXP_synthase_N	PF13292	CL0254	1-deoxy-D-xylulose-5-phosphate synthase	248.0	212.78
Pentapeptide_4	PF13599	CL0505	Pentapeptide repeat region	199.0	46.14
Glyco_hydro_42C	PF08533	CL0369	Beta-galactosidase C-terminal domain	58.0	44.85
ComGC_C	PF26697		Competence protein ComGC, C-terminal domain	69.0	44.07
DUF1972	PF09314	CL0113	Domain of unknown function (DUF1972)	185.0	303.81
Hol_Tox	PF16935		Putative Holin-like Toxin (Hol-Tox)	33.0	35.75
AIRS_C	PF02769		AIR synthase related protein, C-terminal domain	166.0	113.14
UvrB_inter	PF17757	CL0664	UvrB interaction domain	91.0	114.12
Fic	PF02661		Fic/DOC family	110.0	39.85
DivIC	PF04977	CL0225	Septum formation initiator	79.0	51.9
CGDB	PF19906		C-glycoside deglycosidase beta subunit	112.0	120.75
DUF697	PF05128		Domain of unknown function (DUF697)	156.0	38.43
VWA_2	PF13519	CL0128	von Willebrand factor type A domain	132.0	27.2
TPR_16	PF13432	CL0020	Tetratricopeptide repeat	146.0	13.86
Macro	PF01661	CL0223	Macro domain	116.0	131.51
UDPG_MGDP_dh	PF00984	CL0106	UDP-glucose/GDP-mannose dehydrogenase family, central domain	92.0	91.8
SbcC_Walker_B	PF13558	CL0023	SbcC/RAD50-like, Walker B motif	97.0	34.88
Cas_Csn2	PF09711	CL0023	CRISPR-associated protein (Cas_Csn2)	91.0	111.93
BCCT	PF02028	CL0062	BCCT, betaine/carnitine/choline family transporter	485.0	619.9
Cas3_C	PF18395		Cas3 C-terminal domain	111.0	94.57
tRNA_Me_trans	PF03054	CL0039	tRNA methyl transferase HUP domain	198.0	290.9
Fer4_15	PF13459	CL0344	4Fe-4S single cluster domain	62.0	36.3
Na_H_antiporter	PF03553	CL0182	Na+/H+ antiporter family	290.0	173.95
MazE_antitoxin	PF04014	CL0132	Antidote-toxin recognition MazE, bacterial antitoxin	34.0	33.68
SBP_bac_8	PF13416	CL0177	Bacterial extracellular solute-binding protein	263.0	88.38
TRCF	PF03461		TRCF domain	95.0	44.98
Acyl-CoA_dh_N	PF02771	CL0544	Acyl-CoA dehydrogenase, N-terminal domain	113.0	134.03
rve	PF00665	CL0219	Integrase core domain	98.0	64.37
TfoX_N	PF04993	CL0631	TfoX N-terminal domain	83.0	32.0
PBP_dimer	PF03717	CL0776	Penicillin-binding Protein dimerisation domain	246.0	114.6
IPPT	PF01715	CL0023	IPP transferase	243.0	280.02
Nucleos_tra2_C	PF07662		Na+ dependent nucleoside transporter C-terminus	239.0	162.68
AMP-binding_C	PF13193	CL0531	AMP-binding enzyme C-terminal domain	80.0	42.39
PEPCK_ATP	PF01293	CL0374	Phosphoenolpyruvate carboxykinase	437.0	66.17
Ribosomal_L9_N	PF01281	CL0885	Ribosomal protein L9, N-terminal domain	47.0	80.23
Gln-synt_C	PF00120	CL0286	Glutamine synthetase, catalytic domain	336.0	472.52
IFS	PF16718		Immunity factor for SPN	161.0	219.89
HAD	PF12710	CL0137	haloacid dehalogenase-like hydrolase	167.0	97.31
MacP_activator	PF26336		Penicillin-binding protein 2a activator MacP	98.0	91.75
HemN_C	PF06969	CL0123	HemN C-terminal domain	67.0	72.16
Ribonuc_red_lgC	PF02867	CL0339	Ribonucleotide reductase, barrel domain	530.0	517.12
Chorismate_bind	PF00425		chorismate binding enzyme	255.0	315.03
CTP_synth_N	PF06418	CL0023	CTP synthase N-terminus	265.0	436.77
Peptidase_M24	PF00557		Metallopeptidase family M24	213.0	201.53
Stealth_CR1	PF17101		Stealth protein CR1, conserved region 1	29.0	42.47
TrkA_C	PF02080	CL0582	TrkA-C domain	71.0	32.41
SAM_HAT_C	PF20257		SAM hydroxide adenosyltransferase C-terminal domain	95.0	68.16
Penicillinase_R	PF03965	CL0123	Penicillinase repressor	115.0	110.99
CorC_HlyC	PF03471		Transporter associated domain	79.0	73.2
Peptidase_M42	PF05343	CL0865	M42 glutamyl aminopeptidase	289.0	249.05
Aldolase	PF01081	CL0036	KDPG and KHG aldolase	196.0	145.35
Acyltransferase	PF01553	CL0228	Acyltransferase	130.0	59.9
PseudoU_synth_1	PF01416	CL0649	tRNA pseudouridine synthase	105.0	111.53
WHD_DprA	PF17782	CL0123	DprA winged helix domain	62.0	30.82
CRISPR_Cas2	PF09827	CL0728	CRISPR associated protein Cas2	80.0	48.16
HI_0787_N	PF27257		HI_0787 N-terminal domain	81.0	39.53
CarD_TRCF_RID	PF02559	CL0010	CarD-like/TRCF RID domain	57.0	62.62
DUF2752	PF10825		Protein of unknown function (DUF2752)	49.0	60.26
Glyco_trans_2_3	PF13632	CL0110	Glycosyl transferase family group 2	264.0	55.72
Acyl_transf_3	PF01757	CL0316	Acyltransferase domain	271.0	40.53
CN_hydrolase	PF00795		Carbon-nitrogen hydrolase	272.0	64.21
Transglut_core	PF01841	CL0125	Transglutaminase-like superfamily	111.0	49.52
Beta-lactamase	PF00144	CL0013	Beta-lactamase	319.0	147.2
MutS_I	PF01624		MutS domain I	113.0	151.34
SBP_bac_3	PF00497	CL0177	Bacterial extracellular solute-binding proteins, family 3	220.0	123.5
P-loop_SecA	PF21090	CL0023	SecA P-loop domain	176.0	137.16
DUF2264_C	PF20938	CL0103	DUF2264 C-terminal domain	206.0	76.3
Anti-Pycsar_Apyc1	PF23023	CL0381	Anti-Pycsar protein Apyc1	224.0	56.25
NMO	PF03060	CL0036	Nitronate monooxygenase	304.0	239.03
PcrA_UvrD_tudor	PF21196	CL0010	PcrA/UvrD tudor domain	48.0	73.72
ribosomal_L24	PF17136	CL0010	Large ribosomal subunit protein uL24, C-terminal domain	64.0	108.45
Dyp_perox_N	PF04261	CL0032	Dyp-type peroxidase, N-terminal	153.0	137.72
KxYKxGKxW_sig	PF19258		KxYKxGKxW signal peptide	41.0	30.19
SLT_2	PF13406	CL0037	Transglycosylase SLT domain	170.0	13.97
S4_2	PF13275	CL0492	S4 domain	65.0	83.45
NEAT	PF05031	CL0159	Iron Transport-associated domain	121.0	28.07
Acetyltransf_CG	PF14542	CL0257	GCN5-related N-acetyl-transferase	79.0	74.33
Colicin_V	PF02674	CL0292	Colicin V production protein	165.0	91.14
FUR	PF01475	CL0123	Ferric uptake regulator family	124.0	120.03
DUF8128	PF26449		Domain of unknown function (DUF8128)	320.0	101.12
E1-E2_ATPase	PF00122		P-type ATPase actuator domain	102.0	90.02
SMC_ScpA	PF02616	CL0157	Segregation and condensation protein ScpA	226.0	150.05
Fapy_DNA_glyco	PF01149		Formamidopyrimidine-DNA glycosylase N-terminal domain	116.0	116.61
Bacteriocin_IIc	PF10439	CL0400	Bacteriocin class II with double-glycine leader peptide	47.0	36.39
Radical_SAM_C	PF16199		Radical_SAM C-terminal domain	85.0	96.94
DNA_pol_A	PF00476		DNA polymerase family A	380.0	530.25
Holin_BhlA	PF10960		BhlA holin family	52.0	28.67
Lactamase_B	PF00753	CL0381	Metallo-beta-lactamase superfamily	184.0	41.37
DUF3165	PF11364		Protein of unknown function (DUF3165)	79.0	107.59
Peptidase_M75	PF09375		Imelysin	236.0	121.82
EntA_Immun	PF08951		Bacteriocin immunity protein family	73.0	58.09
rhaM	PF05336	CL0032	L-rhamnose mutarotase	101.0	99.63
EF-G_D2	PF22042	CL0866	Elongation factor G domain 2	80.0	32.62
NLPC_P60	PF00877	CL0125	NlpC/P60 family	99.0	104.2
ADH_Fe_C	PF25137	CL0886	Fe-containing alcohol dehydrogenase family, C-terminal	211.0	221.21
PCRF	PF03462		PCRF domain	189.0	196.15
RecR_ZnF	PF02132	CL0839	RecR, Cys4-zinc finger domain	21.0	41.16
Transketolase_C_1	PF22613	CL0591	Transketolase-like TK C-terminal domain	115.0	137.99
DUF1129	PF06570	CL0112	Protein of unknown function (DUF1129)	191.0	36.74
HHH_2	PF12826	CL0198	Helix-hairpin-helix motif	64.0	66.28
DUF2651	PF10852		Protein of unknown function (DUF2651)	80.0	56.58
CdAMP_rec	PF06153	CL0089	Cyclic-di-AMP receptor	109.0	147.09
Gly_zipper	PF26273	CL0500	Glycine zipper membrane protein	48.0	35.42
DUF4440	PF14534	CL0051	Domain of unknown function (DUF4440)	109.0	46.88
ABC_cobalt	PF09819		ABC-type cobalt transport system, permease component	125.0	122.22
Cation_efflux	PF01545		Cation efflux transmembrane domain	195.0	178.87
LiaF-like_C	PF09922	CL0268	Cell wall-active antibiotics response LiaF, C-terminal	116.0	113.92
MethyltransfD12	PF02086	CL0063	D12 class N6 adenine-specific DNA methyltransferase	280.0	119.23
Glyoxalase	PF00903	CL0104	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	120.0	81.12
IstB_IS21	PF01695	CL0023	IstB-like ATP binding protein	224.0	50.14
Z1	PF10593		Z1 domain	223.0	77.78
FKBP_C	PF00254	CL0487	FKBP-type peptidyl-prolyl cis-trans isomerase	84.0	61.5
