domain_id	Accession_pfam	Clan_pfam	EC_phrog	Function_pfam	Function_phrog	L1_phrog	alignment_length	bit_score
phrog_21333					hypothetical	unknown function	88.0	138.66
Phage_T4_gp68	PF26830			Prohead assembly protein gp68 family			141.0	243.01
phrog_20147					hypothetical	unknown function	47.0	91.04
phrog_21930					holin	lysis	84.0	196.35
phrog_656					abc2 anti-RecBCD	moron, auxiliary metabolic gene and host takeover	98.0	183.7
phrog_89					Rz-like spanin	lysis	141.0	207.02
Endonuclease_7	PF02945	CL0263		Recombination endonuclease VII			96.0	76.72
phrog_11133					hypothetical	unknown function	196.0	69.46
phrog_1541					hypothetical	unknown function	74.0	157.1
DUF7616	PF24592			Family of unknown function (DUF7616)			56.0	114.68
phrog_3177					hypothetical	unknown function	72.0	159.38
T4_Y03C	PF25721			Phage T4 Y03C protein family			84.0	72.91
phrog_29854					hypothetical	unknown function	45.0	118.59
phrog_374					HNH endonuclease	DNA, RNA and nucleotide metabolism	209.0	208.63
DUF2685	PF10886			Protein of unknown function (DUF2685)			51.0	103.3
Phage_TTP_12	PF16461	CL0504		Lambda phage tail tube protein, TTP			135.0	235.11
Phage_pb10_N	PF21393			Decoration protein pb10 N-terminal domain			59.0	129.9
phrog_162					endolysin	lysis	141.0	230.39
phrog_303					hypothetical	unknown function	79.0	80.17
phrog_4979					hypothetical	unknown function	143.0	277.33
phrog_1931					hypothetical	unknown function	100.0	129.24
phrog_13249					holin	lysis	79.0	175.72
phrog_755					RNA ligase	DNA, RNA and nucleotide metabolism	150.0	230.95
N36	PF11438			36-mer N-terminal peptide of the N protein (N36)			35.0	90.17
Phage_T4_Y06M	PF26896			Bacteriophage T4 protein Y06M			135.0	208.37
phrog_9014					Gp5.9-like inihibitor of recBCD nuclease	moron, auxiliary metabolic gene and host takeover	52.0	136.23
phrog_29624					hypothetical	unknown function	61.0	103.22
phrog_492					hypothetical	unknown function	153.0	56.35
phrog_4448					hypothetical	unknown function	79.0	150.71
GP3_package	PF16677	CL0123		DNA-packaging protein gp3			116.0	50.83
phrog_817					tail fiber protein	tail	198.0	143.04
phrog_1915					hypothetical	unknown function	128.0	136.51
phrog_2076					QueE-like  radical SAM domain	moron, auxiliary metabolic gene and host takeover	235.0	253.81
phrog_1798					hypothetical	unknown function	111.0	24.87
phrog_11748					hypothetical	unknown function	126.0	245.52
phrog_2346					hypothetical	unknown function	112.0	117.74
phrog_368					hypothetical	unknown function	214.0	120.72
SBB_T7	PF21265	CL0021		Single-stranded DNA-binding protein, Bacteriophage T7			171.0	305.7
Phage_T7_Gp13	PF11090	CL0257		Bacteriophage T7, probable scaffold protein Gp13			86.0	160.47
phrog_10509					hypothetical	unknown function	60.0	119.39
phrog_2501					hypothetical	unknown function	46.0	67.6
RzoQ	PF28595			Putative lipoprotein RzoQ			67.0	30.76
Phage_T4_Y00H_G	PF26837			Phage T4 Y00H/Y00G protein family			79.0	86.66
Phage_P1_Gp16	PF26903			Bacteriophage P1 gene 16 protein			166.0	306.84
phrog_11132					hypothetical	unknown function	108.0	177.68
phrog_1314					HNH endonuclease	DNA, RNA and nucleotide metabolism	485.0	427.56
phrog_16257					hypothetical	unknown function	92.0	195.28
phrog_3436					hypothetical	unknown function	90.0	171.76
HAD_SAK_2	PF18143			HAD domain in Swiss Army Knife RNA repair proteins			137.0	66.52
phrog_1269					baseplate wedge subunit	tail	102.0	130.49
phrog_2153					hypothetical	unknown function	95.0	170.34
phrog_15762					hypothetical	unknown function	199.0	356.15
phrog_21861					hypothetical	unknown function	134.0	164.36
phrog_11278					hypothetical	unknown function	89.0	168.55
phrog_13956					hypothetical	unknown function	87.0	203.83
phrog_2749					hypothetical	unknown function	103.0	173.14
phrog_6					baseplate wedge subunit	tail	496.0	144.68
phrog_6200					hypothetical	unknown function	71.0	135.55
DNMK	PF21448	CL0023		Deoxynucleotide monophosphate kinase			233.0	360.55
phrog_487					NrdD-like anaerobic ribonucleotide reductase large subunit	moron, auxiliary metabolic gene and host takeover	605.0	1017.86
phrog_36709					hypothetical	unknown function	65.0	162.38
phrog_20075					hypothetical	unknown function	40.0	115.14
Mod_ADP_RT	PF26816			Bacteriophage T4 Mod ADP-ribosyltransferase			200.0	361.69
WcaM	PF27800			Colanic acid biosynthesis WcaM			318.0	104.36
phrog_3966					hypothetical	unknown function	104.0	122.49
phrog_478					site-specific recombination directionality factor RDF	integration and excision	122.0	153.22
phrog_2139					exonuclease	DNA, RNA and nucleotide metabolism	324.0	497.52
Nmad5	PF18757			Nucleotide modification associated domain 5			253.0	196.88
phrog_15669					hypothetical	unknown function	91.0	166.55
phrog_14341					transcriptional repressor	transcription regulation	65.0	120.64
phrog_4425					hypothetical	unknown function	88.0	167.7
phrog_28700					hypothetical	unknown function	71.0	26.1
S_tail_recep_bd	PF14928			Short tail fibre protein receptor-binding domain			93.0	207.38
RmlD_sub_bind	PF04321	CL0063		RmlD substrate binding domain			260.0	246.83
DUF5464	PF17552			Family of unknown function (DUF5464)			51.0	124.16
GpA_ATPase	PF05876	CL0023		Phage terminase large subunit gpA, ATPase domain			257.0	172.42
DUF7299	PF23973			Family of unknown function (DUF7299)			76.0	66.32
GTP_cyclohydroI	PF01227	CL0334		GTP cyclohydrolase I			172.0	212.28
phrog_1390					tail protein	tail	331.0	533.5
phrog_13628					hypothetical	unknown function	46.0	127.42
phrog_448					nicotinamide phosphoribosyl transferase	other	576.0	647.14
phrog_213					portal protein	head and packaging	520.0	780.94
phrog_11666					hypothetical	unknown function	34.0	45.66
phrog_1114					PmgG-like head morphogenesis	head and packaging	193.0	266.77
phrog_9690					DNA helicase	DNA, RNA and nucleotide metabolism	114.0	155.67
DUF7180	PF23805			Family of unknown function (DUF7180)			72.0	83.31
Phage_T4_gp19	PF06841	CL0504		T4-like virus tail tube protein gp19			153.0	48.1
phrog_2678					hypothetical	unknown function	87.0	190.9
phrog_12533					hypothetical	unknown function	89.0	191.75
phrog_9296					hypothetical	unknown function	59.0	117.69
DUF6260	PF19774	CL0373		Family of unknown function (DUF6260)			305.0	378.59
phrog_8851					outer membrane protein	other	28.0	63.92
phrog_4226					baseplate protein	tail	275.0	364.23
phrog_15455					tail fiber protein	tail	595.0	81.07
phrog_12610					hypothetical	unknown function	94.0	212.15
phrog_7572					hypothetical	unknown function	117.0	201.02
NLPC_P60	PF00877	CL0125		NlpC/P60 family			114.0	49.46
DUF7442	PF24226			Phage membrane protein Family of unknown function (DUF7442)			79.0	117.29
phrog_4056					baseplate protein	tail	226.0	330.23
phrog_4590					hypothetical	unknown function	101.0	133.44
phrog_2389					QueD-like  6-pyruvoyl-tetrahydropterin synthase	moron, auxiliary metabolic gene and host takeover	170.0	173.37
phrog_2111					hypothetical	unknown function	208.0	440.83
Phage_integrase	PF00589	CL0382		Phage integrase family			171.0	137.36
phrog_161					head closure Hc1	connector	123.0	99.63
phrog_4451					hypothetical	unknown function	59.0	112.87
Gp5_trimer_C	PF22178	CL0606		Bacteriophage T4 gp5 C-terminal trimerisation domain			156.0	21.33
IPI_T4	PF11634			Nuclease inhibitor from bacteriophage T4			76.0	179.9
phrog_35664					hypothetical	unknown function	115.0	199.66
phrog_3924					Kil protein for bacterial septation inhibition	other	47.0	123.38
Radical_SAM	PF04055	CL0036		Radical SAM superfamily			93.0	44.16
phrog_5473					hypothetical	unknown function	61.0	124.17
phrog_11100					hypothetical	unknown function	119.0	162.43
Lar_restr_allev	PF14354	CL0167		Restriction alleviation protein Lar			50.0	41.2
phrog_53					head maturation protease	head and packaging	437.0	579.49
phrog_1854					PmgB-like head morphogenesis	head and packaging	279.0	512.5
phrog_14629					hypothetical	unknown function	1443.0	1580.5
phrog_1722					tail protein	tail	405.0	741.13
phrog_11458					hypothetical	unknown function	71.0	58.2
phrog_5481					tail fiber protein	tail	1107.0	1228.92
phrog_24420					hypothetical	unknown function	62.0	151.78
phrog_3610					hypothetical	unknown function	47.0	94.74
phrog_6503					hypothetical	unknown function	62.0	105.24
Phage_Bf23_A1	PF26907			Bacteriophage Bf23 protein A1			38.0	50.2
Pect-lyase_RHGA_epim	PF12708	CL0268		Rhamnogalacturonase A/epimerase, pectate lyase-like			211.0	43.33
O_Spanin_T7	PF17531			Spanin, outer lipoprotein subunit T7-like virus			59.0	137.88
TMP_2	PF06791			Prophage tail length tape measure protein			205.0	233.6
phrog_2063					hypothetical	unknown function	111.0	169.59
phrog_2097					tail fiber protein	tail	382.0	438.9
phrog_6073					Rz-like spanin	lysis	68.0	105.35
phrog_12538					hypothetical	unknown function	63.0	39.47
Zn_ribbon_DnaG	PF01807	CL0167		CHC2 zinc finger			84.0	23.39
phrog_13831					hypothetical	unknown function	60.0	119.58
Phage_tube_2	PF18906			Phage tail tube protein			284.0	138.94
adh_short_C2	PF13561	CL0063		Enoyl-(Acyl carrier protein) reductase			220.0	77.62
phrog_842					beta-glucosyl-HMC-alpha-glucosyltransferase	other	261.0	274.32
phrog_13897					hypothetical	unknown function	43.0	66.89
phrog_5334					terminase small subunit	head and packaging	177.0	214.86
phrog_35018					hypothetical	unknown function	90.0	171.47
Phage_tail_L	PF05100	CL0249		Phage minor tail protein L			202.0	338.02
phrog_28					tail length tape measure protein	tail	815.0	964.08
phrog_5345					hypothetical	unknown function	104.0	165.16
SIS	PF01380	CL0067		SIS domain			137.0	38.22
phrog_13504					hypothetical	unknown function	165.0	332.63
phrog_159					RuvC-like Holliday junction resolvase	DNA, RNA and nucleotide metabolism	209.0	121.85
TMP_C	PF24165			Tape measure protein C-terminal			36.0	60.45
phrog_19774					hypothetical	unknown function	75.0	165.54
phrog_6094					hypothetical	unknown function	135.0	117.51
Phage_T1_holin	PF27028			Bacteriophage T1 holin			71.0	124.16
phrog_7504					homing endonuclease	DNA, RNA and nucleotide metabolism	210.0	444.61
phrog_6377					hypothetical	unknown function	131.0	242.31
phrog_2203					membrane protein	moron, auxiliary metabolic gene and host takeover	162.0	254.52
phrog_7119					hypothetical	unknown function	51.0	109.33
phrog_2425					hypothetical	unknown function	57.0	68.59
DUF4752	PF15944			Domain of unknown function (DUF4752)			85.0	112.99
phrog_145					portal protein	head and packaging	508.0	397.98
phrog_7992					tail spike protein	tail	93.0	188.32
phrog_19703					hypothetical	unknown function	78.0	192.87
PB4_spike	PF24168			Straight fiber protein PB4 spike domain			315.0	592.03
phrog_2888					alpha-glucosyltransferase	other	400.0	686.11
phrog_8027					hypothetical	unknown function	46.0	73.75
phrog_12734					hypothetical	unknown function	117.0	249.35
phrog_6894					hypothetical	unknown function	98.0	176.48
Phage_min_tail	PF05939			Phage minor tail protein			107.0	135.35
phrog_1827					ATP-dependent protease	other	199.0	294.17
phrog_25244					hypothetical	unknown function	82.0	172.59
phrog_9291					hypothetical	unknown function	72.0	153.79
Phage_holin_3_2	PF04550			Phage holin family 2			86.0	143.44
phrog_24361					terminase	head and packaging	158.0	52.12
phrog_4452					anti-restriction nuclease	DNA, RNA and nucleotide metabolism	72.0	128.5
phrog_24275					hypothetical	unknown function	51.0	135.31
phrog_7028					hypothetical	unknown function	132.0	230.28
phrog_2110					hypothetical	unknown function	80.0	158.97
Phage_blade	PF24647			Phage blade protein			60.0	103.39
phrog_9414					hypothetical	unknown function	69.0	89.09
phrog_5486					hypothetical	unknown function	131.0	246.49
phrog_2260					hypothetical	unknown function	200.0	204.85
phrog_12148					hypothetical	unknown function	41.0	96.03
Gp18_domIII_N	PF22671			Tail sheath protein Gp18 domain III N-terminal region			60.0	64.77
Gp38_N	PF21721			Phage tail fibre adhesin Gp38 N-terminal domain			42.0	78.73
phrog_2257					unknown function	unknown function	295.0	540.18
phrog_381					tail fiber protein	tail	669.0	764.51
5_3_exonuc_N	PF02739	CL0280		5'-3' exonuclease, N-terminal resolvase-like domain			168.0	36.82
phrog_28005					hypothetical	unknown function	94.0	213.35
Gp38_E217	PF22760			Baseplate component gp38			143.0	39.75
phrog_240					head protein	head and packaging	110.0	129.54
Phage_portal_2	PF05136	CL0838		Phage portal protein, lambda family			370.0	328.67
PriCT_1	PF08708	CL0242		Primase C terminal 1 (PriCT-1)			59.0	36.59
DUF7370	PF24085			Family of unknown function (DUF7370)			124.0	123.99
DNA_pol_B_exo1	PF03104	CL0219		DNA polymerase family B, exonuclease domain			206.0	73.77
phrog_8339					hypothetical	unknown function	80.0	188.91
phrog_9595					hypothetical	unknown function	160.0	202.4
phrog_3636					DNA binding protein	DNA, RNA and nucleotide metabolism	180.0	179.55
5_3_exonuc	PF01367	CL0464		5'-3' exonuclease, C-terminal SAM fold			85.0	44.86
phrog_3199					hypothetical	unknown function	81.0	104.57
phrog_4627					hypothetical	unknown function	136.0	208.19
phrog_1238					phosphoheptose isomerase	moron, auxiliary metabolic gene and host takeover	133.0	133.61
phrog_8408					hypothetical	unknown function	74.0	166.29
phrog_3151					inhibitor of MrcBC restriction	moron, auxiliary metabolic gene and host takeover	91.0	149.15
phrog_5707					hypothetical	unknown function	118.0	130.64
gp37_C	PF12604	CL0840		Tail fibre protein gp37 C terminal domain			81.0	55.77
phrog_2134					hypothetical	unknown function	137.0	165.11
phrog_107					exonuclease	DNA, RNA and nucleotide metabolism	305.0	244.81
phrog_108					Lom outer membrane protein	other	206.0	243.75
NT5C	PF06941	CL0137		5' nucleotidase, deoxy (Pyrimidine), cytosolic type C protein (NT5C)			194.0	26.79
T5_Terminase_small	PF26823			Putative phage T5 terminase, small subunit			160.0	277.5
phrog_35977					hypothetical	unknown function	31.0	79.37
phrog_5073					tail fiber protein	tail	439.0	352.05
phrog_1014					hypothetical	unknown function	560.0	875.6
phrog_55					head closure	connector	172.0	257.37
VapE-like_dom	PF05272	CL0023		Virulence-associated protein E-like domain			242.0	98.85
phrog_10640					hypothetical	unknown function	54.0	121.77
Lambda_CIII	PF02061			Lambda Phage CIII			41.0	90.86
phrog_16110					hypothetical	unknown function	72.0	149.33
phrog_771					virion structural protein	head and packaging	350.0	449.48
Gp51_C	PF28602			Baseplate hub assembly protein Gp51 C-terminal domain			47.0	93.25
phrog_2874					hypothetical	unknown function	126.0	190.61
Phage_T4_Y01E	PF26838			Phage T4 Y01E protein			60.0	91.32
phrog_4868					hypothetical	unknown function	81.0	110.3
NMN_transporter	PF04973			Nicotinamide mononucleotide transporter			185.0	143.04
phrog_9374					hypothetical	unknown function	59.0	132.69
Phage_Tube_PhiTE	PF11681			Bacteriophage PhiTE tail tube protein			117.0	32.45
phrog_4					transcriptional repressor	transcription regulation	237.0	205.18
UvsW-1	PF11637	CL0426		UvsW.1 domain			67.0	125.84
Peptidase_M15_4	PF13539	CL0170		D-alanyl-D-alanine carboxypeptidase			63.0	25.76
phrog_18461					hypothetical	unknown function	59.0	80.96
phrog_18					minor tail protein	tail	232.0	420.51
phrog_2941					virion structural protein	head and packaging	226.0	258.64
phrog_757					DNA methyltransferase	other	254.0	295.52
phrog_872					hypothetical	unknown function	161.0	241.01
phrog_12958					hypothetical	unknown function	126.0	296.02
TIM-barrel_NCTSP	PF23845	CL0036		Non-contractile tail sheath protein TIM barrel			363.0	269.04
Phage_DsbA	PF11126			Transcriptional regulator DsbA			67.0	121.21
phrog_4641					hypothetical	unknown function	68.0	103.97
phrog_8297					hypothetical	unknown function	85.0	171.31
phrog_35478					hypothetical	unknown function	31.0	91.86
phrog_6828					hypothetical	unknown function	36.0	30.59
phrog_375					Phd-like antitoxin	moron, auxiliary metabolic gene and host takeover	67.0	76.65
Gp34_trimer	PF21446	CL0606		Long-tail fiber proximal subunit, C-terminal, trimerization domain			122.0	119.33
phrog_442					head-tail adaptor	connector	170.0	156.13
phrog_8993					hypothetical	unknown function	241.0	375.31
phrog_13415					hypothetical	unknown function	279.0	537.91
phrog_836					late transcriptional activator	transcription regulation	140.0	103.1
phrog_917					released from the phage upon host infection	other	295.0	65.72
phrog_114					ATP-dependent DNA ligase	DNA, RNA and nucleotide metabolism	485.0	435.78
phrog_9747					hypothetical	unknown function	147.0	209.93
phrog_3766					hypothetical	unknown function	66.0	118.7
phrog_24351					endonuclease VII	DNA, RNA and nucleotide metabolism	90.0	206.46
NCTSP_N	PF23844	CL0202		Non-contractile tail sheath N-terminal domain			187.0	46.97
phrog_12154					DNA helicase	DNA, RNA and nucleotide metabolism	98.0	185.1
phrog_9288					hypothetical	unknown function	35.0	41.81
phrog_7349					hypothetical	unknown function	98.0	148.88
phrog_704					DNA repair exonuclease	DNA, RNA and nucleotide metabolism	376.0	506.35
phrog_1117					hypothetical	unknown function	54.0	128.24
phrog_4465					tail fiber protein	tail	346.0	577.94
phrog_2220					hypothetical	unknown function	885.0	999.24
YdaS_toxin	PF15943	CL0123		Bacterial toxin YdaS			44.0	29.25
phrog_7673					internal head protein	head and packaging	72.0	94.7
phrog_2817					hypothetical	unknown function	79.0	124.06
phrog_4328					hypothetical	unknown function	142.0	241.74
DUF2800	PF10926	CL0236		Protein of unknown function (DUF2800)			447.0	217.02
phrog_6221					hypothetical	unknown function	55.0	133.83
phrog_4039					hypothetical	unknown function	140.0	277.34
phrog_265					replication initiation protein	DNA, RNA and nucleotide metabolism	100.0	181.7
phrog_13456					hypothetical	unknown function	115.0	86.25
phrog_1855					DdrA-like anti-restriction protein	moron, auxiliary metabolic gene and host takeover	121.0	203.98
phrog_10966					hypothetical	unknown function	222.0	391.94
phrog_1086					hypothetical	unknown function	102.0	155.96
phrog_11577					hypothetical	unknown function	123.0	259.02
phrog_10530					DNA ligase	DNA, RNA and nucleotide metabolism	154.0	311.78
phrog_592					thymidine kinase	other	193.0	302.39
phrog_12630					hypothetical	unknown function	109.0	219.17
UvsY	PF11056			Recombination, repair and ssDNA binding protein UvsY			129.0	176.16
phrog_4586					hypothetical	unknown function	78.0	149.22
phrog_603					transcriptional regulator	transcription regulation	72.0	96.17
phrog_2193					hypothetical	unknown function	49.0	87.09
phrog_6790					tail protein	tail	143.0	187.86
Helic-prim_T7_N	PF21268	CL0748		Bacteriophage T7 DNA helicase/primase, N-terminal a+b fold			59.0	109.03
DUF5466	PF17554			Family of unknown function (DUF5466)			57.0	142.56
phrog_15027					tail assembly chaperone	tail	138.0	222.85
Ig_3	PF13927	CL0159		Immunoglobulin domain			78.0	21.12
Phage_T4_Y06R	PF26875			Phage T4 Y06R protein			111.0	125.32
DUF5484	PF17583			Family of unknown function (DUF5484)			43.0	121.42
phrog_3198					Rz-like spanin	lysis	60.0	103.53
T4-gp15_tss	PF16724	CL0691		T4-like virus Myoviridae tail sheath stabiliser			257.0	310.16
phrog_19550					hypothetical	unknown function	197.0	159.3
phrog_2054					hypothetical	unknown function	88.0	155.76
phrog_16989					membrane protein	moron, auxiliary metabolic gene and host takeover	44.0	46.68
phrog_23015					hypothetical	unknown function	61.0	157.96
phrog_1822					hypothetical	unknown function	89.0	126.61
phrog_12469					hypothetical	unknown function	105.0	234.97
phrog_804					hypothetical	unknown function	71.0	121.03
phrog_4559					hypothetical	unknown function	82.0	161.16
phrog_166					tail protein	tail	93.0	78.04
phrog_4036					tail length tape measure protein	tail	742.0	1534.12
Phage_PM2_Gpl	PF26925			Pseudoalteromonas phage PM2 protein Gp-l			65.0	76.11
phrog_36409					hypothetical	unknown function	286.0	332.2
phrog_18758					hypothetical	unknown function	68.0	146.37
phrog_6164					hypothetical	unknown function	190.0	431.69
phrog_2249					DNA primase	DNA, RNA and nucleotide metabolism	769.0	713.74
phrog_2814					hypothetical	unknown function	85.0	132.27
phrog_63					anti-repressor Ant	transcription regulation	303.0	242.02
Tad2-like	PF11195			Thoeris anti-defense 2-like domain			79.0	77.56
phrog_5989					terminase large subunit	head and packaging	334.0	322.4
phrog_9053					hypothetical	unknown function	57.0	116.47
T7_gp14	PF24072			T7 virus internal virion protein gp14 family			195.0	154.32
phrog_2237					hypothetical	unknown function	109.0	146.98
P22_Tail-4	PF11650	CL0643		P22 tail accessory factor			165.0	197.73
SSB	PF00436	CL0021		Single-strand binding protein family			105.0	133.32
Phage_fiber_2	PF03406			Phage tail fibre repeat			40.0	70.63
phrog_126					holin/anti-holin	lysis	107.0	139.06
phrog_2534					released from the phage upon host infection	other	431.0	722.2
Phage_zn_bind	PF23895			Phage zinc binding domain			68.0	93.89
phrog_4966					hypothetical	unknown function	112.0	124.96
Phage_nozzle	PF25675			Bacteriophage nozzle protein			794.0	1253.17
phrog_1185					nudix hydrolase	other	146.0	218.14
phrog_7760					tail fiber protein	tail	222.0	400.08
Packaging_FI	PF14000			DNA packaging protein FI			128.0	198.8
CsrA	PF02599			Global regulator protein family			45.0	46.37
phrog_1873					hypothetical	unknown function	68.0	121.95
phrog_1685					hypothetical	unknown function	2255.0	3987.27
phrog_2048					tail protein	tail	183.0	204.31
Phage_zn_bind_2	PF23903			Phage zinc binding domain			45.0	80.55
phrog_5579					hypothetical	unknown function	49.0	70.81
phrog_1209					hypothetical	unknown function	120.0	212.17
phrog_4859					helicase loader	DNA, RNA and nucleotide metabolism	61.0	135.29
phrog_12812					hypothetical	unknown function	77.0	50.33
Tail_spike_N	PF18668			Tail spike TSP1/Gp66 receptor binding N-terminal domain			70.0	38.75
phrog_25980					hypothetical	unknown function	77.0	179.88
Phage_GPD	PF05954	CL0504		Phage tail baseplate hub (GPD)			324.0	104.19
Phage_T4_Y12I	PF26911			Bacteriophage T4 protein Y12I			68.0	136.38
phrog_292					hypothetical	unknown function	63.0	119.09
phrog_329					minor tail protein	tail	121.0	115.52
phrog_19504					hypothetical	unknown function	58.0	153.85
Phage-tail_3	PF13550	CL0504		Putative phage tail protein			165.0	139.86
Thy1	PF02511			Thymidylate synthase complementing protein			160.0	33.38
phrog_14834					hypothetical	unknown function	163.0	342.01
Caudo_TAP	PF02413	CL0348		Caudovirales tail fibre assembly protein, lambda gpK			121.0	147.3
phrog_4034					hypothetical	unknown function	196.0	385.99
Portal_Mu	PF06074	CL0838		Portal protein of Mu bacteriophage			168.0	27.51
phrog_10409					hypothetical	unknown function	82.0	174.04
Zn_Ribbon_Prim	PF08273	CL0167		Zinc-binding domain of primase-helicase			37.0	41.83
phrog_13850					hypothetical	unknown function	75.0	153.2
VirionAssem_T7	PF11653			Bacteriophage T7 virion assembly protein			99.0	204.54
phrog_127					anti-termination protein Q-like	transcription regulation	211.0	146.59
phrog_3515					hypothetical	unknown function	34.0	79.11
phrog_14549					hypothetical	unknown function	108.0	232.58
phrog_5649					hypothetical	unknown function	55.0	44.89
DUF7167	PF23768			Domain of unknown function (DUF7167)			91.0	17.59
phrog_13920					hypothetical	unknown function	87.0	206.29
phrog_1990					Cas4-domain exonuclease	DNA, RNA and nucleotide metabolism	316.0	397.49
phrog_9509					hypothetical	unknown function	155.0	216.58
phrog_3914					tail assembly chaperone	tail	115.0	188.67
phrog_12908					hypothetical	unknown function	118.0	265.9
HATPase_c_3	PF13589	CL0025		Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase			129.0	34.02
phrog_27504					hypothetical	unknown function	283.0	639.72
phrog_8233					tail assembly chaperone	tail	140.0	155.75
phrog_27336					hypothetical	unknown function	107.0	236.05
phrog_12984					lipoprotein	other	77.0	190.33
Phage_Mu_F	PF04233			Phage Mu protein F like protein			105.0	33.29
Pyr_excise	PF03013			Pyrimidine dimer DNA glycosylase			91.0	52.78
phrog_207					head maturation protease	head and packaging	211.0	257.43
Acb2_Tad1_hairpin	PF24729			Acb2/Tad1, hairpin domain			80.0	40.92
Phage_cement	PF22758	CL0845		Structural cement protein (E217 gp24/Pam3 gp6)			165.0	78.59
phrog_3889					base plate tail tube protein	tail	298.0	502.47
phrog_1614					nucleotidyltransferase	DNA, RNA and nucleotide metabolism	197.0	128.89
DUF3987	PF13148			Protein of unknown function (DUF3987)			367.0	135.79
phrog_3977					hypothetical	unknown function	166.0	336.46
DNA_pol3_alpha	PF07733	CL0260		Bacterial DNA polymerase III alpha NTPase domain			260.0	213.6
DUF2774	PF11242			Protein of unknown function (DUF2774)			60.0	87.76
phrog_7953					hypothetical	unknown function	93.0	218.97
phrog_29443					hypothetical	unknown function	81.0	54.17
phrog_19797					hypothetical	unknown function	42.0	104.75
Phage_T4_Y13I	PF26888			Bacteriophage T4 protein Y13I			72.0	117.19
DUF7179	PF23804			Family of unknown function (DUF7179)			91.0	129.1
Phage_T4_Gp30_7	PF06919			Phage Gp30.7 protein			120.0	180.49
Sheath_initiator	PF10934	CL0763		Contractile injection system sheath initiator			108.0	99.77
phrog_8009					hypothetical	unknown function	42.0	74.37
DAHP_synth_1	PF00793	CL0036		DAHP synthetase I family			303.0	251.01
phrog_24970					hypothetical	unknown function	35.0	56.23
phrog_2327					hypothetical	unknown function	68.0	131.97
DUF2883	PF11097			Protein of unknown function (DUF2883)			75.0	187.22
GP57	PF17594			Phage Tail fiber assembly helper gene product 57			75.0	165.79
Phage_T7_Gp15	PF26212			Phage T7 Internal virion protein gp15			695.0	971.46
phrog_2663					hypothetical	unknown function	169.0	207.01
phrog_18384					hypothetical	unknown function	57.0	148.27
phrog_1648					hypothetical	unknown function	67.0	122.14
phrog_4242					tail fiber protein	tail	553.0	711.33
phrog_3098					hypothetical	unknown function	37.0	75.19
Terminase_5	PF06056	CL0123		Putative ATPase subunit of terminase (gpP-like)			58.0	93.92
phrog_11457					hypothetical	unknown function	59.0	121.74
phrog_46					baseplate hub	tail	67.0	124.61
phrog_4240					hypothetical	unknown function	100.0	117.09
Phage_Cox	PF10743			Regulatory phage protein cox			87.0	123.18
phrog_1928					hypothetical	unknown function	112.0	118.63
phrog_4383					hypothetical	unknown function	59.0	137.58
phrog_8329					hypothetical	unknown function	165.0	289.59
phrog_5782					virion structural protein	head and packaging	67.0	130.87
T7-like_gp67	PF17570			Bacteriophage T7-like, protein 6.7			62.0	97.71
RNase_T	PF00929	CL0219		Exonuclease			166.0	78.99
phrog_3710					hypothetical	unknown function	175.0	227.67
Phage_T4_Y05D	PF26901			Bacteriophage T4 protein Y05D			175.0	313.61
phrog_38319					hypothetical	unknown function	260.0	149.15
Phage_GPO	PF05929			Phage capsid scaffolding protein (GPO) serine peptidase			279.0	368.95
phrog_20372					hypothetical	unknown function	114.0	185.89
phrog_2401					periplasmic protein	other	65.0	112.46
phrog_1056					fibritin neck whisker	tail	485.0	659.62
Phage_tail_U	PF06141	CL0691		Phage minor tail protein U			129.0	171.12
Pribosyltran	PF00156	CL0533		Phosphoribosyl transferase domain			143.0	30.37
DUF7430	PF24207			Family of unknown function (DUF7430)			73.0	133.1
phrog_11330					hypothetical	unknown function	72.0	125.81
Phage_T4_Y11B	PF26882			Bacteriophage T4 protein Y11B			74.0	164.25
phrog_415					polynucleotide kinase	other	179.0	214.81
phrog_1229					hypothetical	unknown function	111.0	132.58
phrog_6500					hypothetical	unknown function	66.0	150.16
phrog_4363					internal virion protein	head and packaging	94.0	167.6
phrog_14500					hypothetical	unknown function	63.0	164.53
DUF3045	PF11243			Protein of unknown function (DUF3045)			88.0	213.56
phrog_1965					hypothetical	unknown function	254.0	202.15
phrog_23437					tail protein	tail	82.0	29.58
PhageMin_Tail	PF10145			Phage-related minor tail protein			202.0	157.77
T4_Gp59_C	PF08994			T4 gene Gp59 loader of gp41 DNA helicase C-term			104.0	173.85
Intein_splicing	PF14890	CL0363		Intein splicing domain			341.0	27.82
Ribonuc_red_lgN	PF00317			Ribonucleotide reductase, all-alpha domain			79.0	71.44
phrog_1285					RNA polymerase binding	DNA, RNA and nucleotide metabolism	127.0	185.23
phrog_10555					hypothetical	unknown function	106.0	237.7
phrog_20894					hypothetical	unknown function	91.0	218.34
phrog_2255					HNH endonuclease	DNA, RNA and nucleotide metabolism	126.0	83.1
Acid_phosphat_B	PF03767	CL0137		HAD superfamily, subfamily IIIB (Acid phosphatase)			131.0	32.64
phrog_17122					hypothetical	unknown function	132.0	284.17
phrog_5653					terminase large subunit	head and packaging	195.0	90.53
phrog_22353					hypothetical	unknown function	35.0	88.57
